block_time,fees,score,block_hash
None,0.34494747,59.599999999999994,0000000000000000000046a2f4dcd1f7d8b7da58a12f194ca7a6677788ae1e1c
16.34,0.48670031,92.9,00000000000000000000e9eb24a4dfe3f1e0d01a97acc1a098aa73d5f83ab411
3.72,0.32379403,84.2,00000000000000000001fb628a62604b580692d54adc3f0ab830273b9c74b844
4.94,0.31744916,87.3,00000000000000000002b2e21f9a7cd784764bd6afbd6f17e6bb7e4cf89e5853
23.54,0.505352,98.6,00000000000000000003fb601209e66ad0cac42cd6746cd29457a616c45c19a7
6.79,0.37761356,88.9,000000000000000000023954a876e2d615f772dad355bc79b8ce76e733297e35
3.43,0.30066238,83.5,00000000000000000000f033c55e14376a06d86d087f223acca33efc50fc5181
3.57,0.31311088,23.5,000000000000000000028dde0f1ce823f35547ff1bebd35dd58ceb04885b0268
8827.04,0.28627231,76.5,00000000000000000000250b91cd55c85331b83e7509ba5abcfda25c68691422
22.65,0.44089687,88.6,00000000000000000002e4a5933cfe39ad6c44f72683743181ffa4c2aaa4be7c
19.41,0.41987122,95.5,00000000000000000001b43d43308638391eb290993f9fc305aee2747a8a7ee8
8.96,0.36367412,96.0,00000000000000000001d70e35ce00bf028cb963ba570b237ff5254eb2b9868b
7.19,0.34375972,87.6,00000000000000000002652482cbc6888932c4189b53b540f20b528ec83f27d9
5.26,0.30160334,69.6,000000000000000000010ae724d173d728d394d5256f73b69d36c999dcf6a1b8
15.37,0.39001421,88.2,00000000000000000000c07568d2c3453841d0bd3204fe8dfcacb9872990d533
6.37,0.3022813,77.7,000000000000000000030628e373d0cd17adcfd95875bf9f2fb41275022c8801
3.92,0.28493466,97.1,00000000000000000002a4b05d3fd1fba3e7ebee90aea4467c7a9385fdde6499
3.15,0.27237564,94.1,0000000000000000000182677d960cbf8dc16e67a50013c523947b5cf194690a
4.95,0.26978866,95.89999999999999,00000000000000000002503e48964fa21675634dba4f5233ea5fc7fa0f8e1f27
7.45,0.29277291,84.1,00000000000000000001d807411924cb19432b3c893c0a2222a10438cfdc22a6
9.34,0.32199028,80.7,00000000000000000003238108ad1eddd3469f38302bd4ce1ec53dede52f5720
3.67,0.2873557,29.099999999999998,000000000000000000013c594d514d5a212468319b521e3c0e6fb961702e17cf
6.16,0.27325339,98.7,00000000000000000001399e59a55db51749ba77090f649d202a536764aa3d42
8.63,0.30894881,79.9,00000000000000000002a8af2c998ece6fcec34110861ca6acae79edb7a98a14
14.42,0.3628572,88.9,00000000000000000000e1b0e585fc1da4a1ed41487bf3c189db09d9c15b1a7b
18.02,0.38506105,99.5,000000000000000000021b0a25fed1e9785d3bdc0610cae0eb48942fdbf2d768
7.17,0.31731088,89.9,00000000000000000000c92f4b03d1b6c520e3386adbba350504136050859c92
3.77,0.27023426,41.699999999999996,00000000000000000002485c42472d87bd732e1c0283f5f21c21e656b8ed799d
8.6,0.30853759,86.4,00000000000000000001a1644c0589c2f1b4caefb7a7fc03a18f16d512e23a63
5.02,0.275635,99.2,00000000000000000001cf2ac63db65d5b6abbeacbf0ad491d42336b1e01fad3
42.75,0.53602726,94.8,00000000000000000000ece19d3e70f7f435a49c91826229b1653d8a9525641f
16.64,0.46259213,85.3,000000000000000000027b14bc5e3d246244d4491bd23707c9a9252a6f3904cc
4.84,0.37513242,89.2,00000000000000000002130081532ddd634e3265c606a3fa2ad184f9fbd5e6af
13.68,0.42485257,76.9,00000000000000000002a3ad748ffe39c10eeefbd1cd231e95425cebf4350a52
7.98,0.35715362,93.5,000000000000000000017c084e81f51e965b0fa33a1244939d39474953d6a409
11.01,0.35052512,98.0,0000000000000000000116c97ebfabc8c401547936d1a5288177075b1f361b11
15.81,0.38103041,91.8,000000000000000000016b2ab59c8fcdb19bc5b697ec817c82e4a9799135a284
9.26,0.3154303,96.5,00000000000000000001e3b2009e4f034db8f47d219540ac0746791acf5a9910
46.99,0.54001274,94.39999999999999,000000000000000000023aae147da71ac0be33dddc63531fd4db07a11f78def9
4.25,0.37502514,98.8,000000000000000000036c4b17280cad10281c753e8c3bd5fdf4f8cb2cf25e10
14.19,0.35865623,88.1,0000000000000000000223f8653b18babe3eceb8f8b17b9c1cc408fd4d1ee565
11.96,0.35142948,86.5,000000000000000000037cc775c5ea4dee7f3c1583ae342cd6827a1d48c0bc8f
17.54,0.35046735,90.10000000000001,00000000000000000002e7835586e740095490723dcdb7672b47e98ced6040d1
4.42,0.27835632,87.2,0000000000000000000236443a3f4784ec904f5c500bd2e82838756b5657bb85
6.96,0.28280525,99.8,000000000000000000037ce676ece6d1f5b3caa5ddf99e110d15957158b25e26
11.75,0.32221467,87.8,000000000000000000010725716a6f879b963c2db82339d580c582f34ab8821d
8.68,0.31249892,96.0,00000000000000000000a8cafe6d7507a2e7c2ea49e3e9b276281a3e6cfdaadc
3.34,0.25868222,74.7,0000000000000000000306498f287150d4302e5f43a0264e71dc7b2b5b84534b
9706.19,0.28924998,57.099999999999994,00000000000000000001545fa2a1ffde5b57ffb735133b535d929b7e6c7bf615
17.8,0.36761749,99.4,00000000000000000001ca149a8c833bc97e8e24626819d96aef169cf456530a
21.07,0.38611856,90.3,00000000000000000000aa2e7f60d4cc545e357103fbbf4fc36e6dcf51ee0a1f
5.45,0.27358546,97.3,000000000000000000023a703d098d58373f6d3ce6e1bf09b1df4e67634140bf
6.35,0.25008981,94.39999999999999,00000000000000000000b2927d2c7665dd513e8b2552427f3af4d231f92297cf
15.71,0.30182507,94.39999999999999,00000000000000000000b95cf1f6306782adaaff1cf768bb21316d53a7fd33be
12.45,0.27688113,92.80000000000001,00000000000000000003a9011999ad7b6da0b03d6265272ac861727642cc2c1d
3.75,0.2290589,50.4,00000000000000000003a1ef301fd639d37e2c488333a4c17087ecc5d2b3649f
30.91,0.38494901,94.39999999999999,00000000000000000000db2cd5112ee0425cdc104d1159a45ccab3b8e6e2b6f4
6.66,0.29554461,97.8,00000000000000000001e9d1d3dbd9c41933732547428ae23f75ad83a6f1ea5c
11.83,0.27168081,99.2,0000000000000000000006fef1a3b7456e3c88b54e9813bfdaa01727c7ed1f10
5.13,0.26293481,90.5,00000000000000000003290d7e4a0ad48ae315696e72fb8a3089dfeb1701a077
16.63,0.30318651,89.60000000000001,000000000000000000011b7079c2384a3d9bf86b3399d15adab7f118cf54a31f
4.36,0.23201748,87.1,00000000000000000000d3ee00bead3689ea901aa1c210ba9880089e0b35bcae
9.28,0.25803321,91.5,000000000000000000027c37012c99b1ce42d0567f4d9e2fcaa7936688150cd3
28.63,0.36792734,90.5,0000000000000000000291b9618a993b2693df75acb562f943b340c6112cc486
8.87,0.2686671,91.2,00000000000000000001a250e083780b0ad5565746328369acde21d0a348da4a
14.65,0.27224226,89.4,00000000000000000001efc73cc821da7e7073414f7e4cc10741133d6a5b4f99
6.88,0.24037677,58.8,00000000000000000001dd73dd5bb8dbb9a93897dfa9ce1e27253cc0336ed435
6.96,0.23312728,82.69999999999999,000000000000000000022df92a5537673d4b67025b679599ddbc18c0ff762b54
10.86,0.26250904,90.2,000000000000000000035062abde56f91d167160a298ca2dc6abea5a9d3a7a16
18.3,0.29889487,91.2,00000000000000000000bdccbe483133c276e295dfb68bb80e9c55243b23e7e2
7.57,0.24075518,84.89999999999999,000000000000000000013dc27ce44e21f437169286979affbf08b9790c55d8a5
9.55,0.24754925,75.0,00000000000000000003426b5b9fbb20b7ac9765a0eb8591b47c6042f6408dcc
8.23,0.23362751,84.89999999999999,0000000000000000000205f831d30e3d688d424ac5f1dc0205f6319d12bba2d3
9.73,0.24943069,50.1,00000000000000000000121257c00b892a47c54f820f9163cae4a60ed5f3e65b
3.86,0.23512609,49.9,000000000000000000002759e2ce3c7571cf44e1185627bbb6af343a1a912003
15.31,0.2961864,97.0,00000000000000000003aa35aa337de3b8b05c04e78ac55b55c4b319962bd37e
15.31,0.2847592,78.8,0000000000000000000325167b794224e4cc5e8c377a9102ab0fa3d9bc7d349e
3.22,0.21102008,27.1,00000000000000000000d972a503411958f727ad0d783b2bf9e495f373777c64
8.3,0.24174089,24.099999999999998,0000000000000000000125c2bb0555490a7756cf6a3030c45aabf8e0478ab43d
24.98,0.31093251,92.30000000000001,0000000000000000000097eb4630cbb613e8ce395f34bb6af39fe30650548bca
30.45,0.35818718,94.6,00000000000000000002b68ed02697e9b0bb5606764f642129ee73303bdfbf24
20.36,0.30873312,87.6,00000000000000000001b34adce7d982730c76a45c93acdcd2ad7e56c3ce57a7
4.65,0.22403648,84.7,00000000000000000001fa0e7d322bc4d50c243757628058c5e9e63456242506
49.88,0.40430237,98.9,0000000000000000000086b449f0f621346cc3c10287c303709a4f944c30f8f1
11.31,0.27830659,82.19999999999999,0000000000000000000397540d26c85f85e139f3e4843cd5d115694a82d9a353
11.9,0.25730201,85.5,000000000000000000023eca806d216257a9d15c69eefeed434055b052c179e4
3.22,0.1960422,35.4,00000000000000000000c85c569b8cdd18e9aab77641e84b49ba6ec435f7f87b
9280.2,0.34894555,88.2,0000000000000000000125480376c5200b8694625b9560730bfaa5da731eca65
9.24,0.28914952,84.6,0000000000000000000272b6fa1d6239db8fc1a98a1b63eb884dde7b8a133e98
14.53,0.31566717,92.10000000000001,0000000000000000000064a018f14ff1724f50d607dd9e89944d78e43f82c8a6
20.22,0.34879972,97.2,0000000000000000000023d2920969ea8fccdf8d9986a1ef34205a90ca205869
11.18,0.29134328,74.8,00000000000000000000dfc5f882b87f5a5a288f169af1b216ad10e7dcc1d814
10.48,0.3071637,95.8,0000000000000000000335064ea2ee2887811781ac50ca64ae8a6dbf0edc5e99
36.36,0.42893389,94.19999999999999,00000000000000000001d10fb3a7f05e3c3d42392063cb9dac18b03488aade2d
29.76,0.60805342,98.8,0000000000000000000284ef90dead95d4ad0529ee02f687195b7e81211a2de7
16.21,0.34583984,90.7,00000000000000000000fae1ca88fc996845bb5eada9147d01036d867dd28ce0
30.06,0.39991182,92.60000000000001,00000000000000000002bbd2b467476978fc156a669f7df79a080a464117d089
20.0,0.36881781,96.89999999999999,0000000000000000000271975b9e840efc8e3d02713fc4ab0160ddde46923ac7
26.24,0.39548084,99.9,00000000000000000001074069633a95b37ddcf2bbe3037038cdb24bce300911
4.7,0.29887364,87.9,00000000000000000002b59eb19ee7ba38703bc24e4d6f10cb8a6c3e155d2773
14.91,0.33187655,94.5,0000000000000000000165293751cdf0614a51e70b4a01d1a3e04f30842146ea
8.76,0.28791239,82.89999999999999,00000000000000000002d2717ad5d44fe7cd361404ece5571ef6eff4759bd6b2
16.85,0.3416044,91.60000000000001,00000000000000000000840d69e13268172c37bd61f7d85cc3be1eecd28420ff
7.4,0.23349663,98.2,00000000000000000001293e256b8f434ae44a09f898fdf38d41557aa73b8526
16.23,0.28890469,90.60000000000001,00000000000000000000d9042895bf1859d354b7ee603eec234760cf5f3db34a
6.91,0.22097301,80.0,0000000000000000000309683bf0b039f3b16596e804faee0f4d6bc7e0789ec4
22.63,0.31943334,94.69999999999999,00000000000000000002e8bab8bb3bc774c5675e8d40149b2646013294b310fc
28.06,0.35344926,93.60000000000001,000000000000000000006639cb2da6f6901843c02d9164d2292b2ee73eba3192
10.33,0.2676953,99.4,00000000000000000002847d852a4547756cebd34005e6301a7251bc3ac85a81
3.16,0.16342824,28.499999999999996,000000000000000000032476d3929ec8c198f97deb6d0f38416b128d3bf61bf8
17.08,0.26540843,91.4,00000000000000000000d658ccb1bdd1c122769cbaa4457f609f49693b57c471
13.48,0.23379436,98.3,0000000000000000000221e9b23c658fc2962e5901b2d803a93c8e6f83894be2
5.87,0.21232473,89.3,0000000000000000000131d26ca6ce56d159bc3867a6ed24a6385bab673f7486
15.95,0.27107068,88.8,000000000000000000025af1b7b350ee1fcb46adec37489e878be80bfc378a04
10.77,0.21208794,93.7,000000000000000000006f11ce33661f4ffbb8f65c9abf2a1c877bc5b7669268
3.29,0.15091478,39.800000000000004,000000000000000000013acf4afdfad31fddaaff15b3fc3bd642d73928f607d3
15.08,0.22090318,89.5,000000000000000000029458a9bbb6d4c8a239702317d0c02c2f71fcc0ec76ab
13.39,0.21309134,99.1,00000000000000000002c080a5ee5ef888c1cf4d4b9703a8b6563128839ffb28
4.12,0.15388912,72.39999999999999,000000000000000000018be17d13aa6ebceacc62dac73d4647f54919e6f5c2ec
